id,timeline_lowest_id,timeline_tweets_pulled,tweet_count,followers_cursor,followers_pulled,followers_count,following_cursor,following_pulled,following_count
2315337690,0,0,0,-1,0,0,-1,0,0
129007523,11504272778,1,1,0,15,15,0,3,3
575831485,0,0,0,-1,0,0,0,6,6
32670411,1546860218,1,1,0,3,3,0,20,20
290473066,0,0,0,0,2,2,0,1,1
410112779,0,0,0,-1,0,0,-1,0,0
555533734,192432350179758080,1287,1287,0,311,311,0,112,112
509055813,174915109091688449,2,2,-1,0,0,0,22,22
2172324931,0,0,0,0,1,1,0,16,16
2203768645,0,0,0,0,1,1,0,10,10
1427008184,341283635351154688,155,155,0,4,4,0,12,12
293155545,78989917191028736,2,2,0,3,3,0,2,2
441189239,0,0,0,-1,0,0,-1,0,0
1588507856,846529696925978624,166,166,0,25,25,-1,0,0
1271046680,0,0,0,-1,0,0,0,4,4
513413949,0,0,0,0,5,5,-1,0,0
140444702,13428713505,1,1,-1,0,0,-1,0,0
2826482433,0,0,0,0,4,4,0,14,14
1673718824,0,0,0,-1,0,0,-1,0,0
275283416,0,0,0,0,2,2,0,1,1
1256677638,861318312650829828,2200,9668,0,26,26,1442572503854405226,123,123
59700687,2814110141,11,11,0,17,17,0,32,32
454038743,154220235879227393,10,10,-1,0,0,0,3,3
1697255982,0,0,0,-1,0,0,0,10,10
2222484949,0,0,0,-1,0,0,-1,0,0
590902416,206342561491730432,1,1,0,1,1,0,22,22
1381012927,327632905985728512,1,1,0,1,1,0,24,24
615622931,0,0,0,-1,0,0,0,4,4
1243506248,0,0,0,-1,0,0,-1,0,0
1181508727,302349821719748608,44,44,0,8,8,0,25,25
1168142094,301767930645970944,1,1,-1,0,0,0,8,8
192913473,0,0,0,-1,0,0,-1,0,0
488750073,0,0,0,0,1,1,0,5,5
315601492,102816939872747520,18,18,0,125,125,0,508,508
2205647443,403280070057263104,1,1,-1,0,0,-1,0,0
311117577,0,0,0,0,2,2,-1,0,0
124512329,10731290606,604,604,0,207,207,0,234,234
2291668629,424897721666129920,16,16,0,7,7,0,29,29
187642171,23858363260,2,2,-1,0,0,0,1,1
46963856,2157782872,16,16,0,3,3,0,11,11
477700262,0,0,0,-1,0,0,0,9,9
301110843,70978047637061633,8,8,0,3,3,0,50,50
334634812,91124102672289792,3,3,0,5,5,-1,0,0
2639010023,0,0,0,-1,0,0,-1,0,0
21191808,21424123226,1240,1240,0,118,118,0,429,429
2212236485,409324185048346624,3,3,0,1,1,-1,0,0
2872644659,532239481991340032,63,63,0,23,23,0,232,232
970741922,273101466984652801,65,65,0,4,4,0,17,17
160026018,17180330088,118,118,0,5,5,-1,0,0
2256747967,0,0,0,-1,0,0,-1,0,0
2239697738,410499755655974913,2,2,0,3,3,0,18,18
2179660874,0,0,0,-1,0,0,0,1,1
710981217,0,0,0,-1,0,0,-1,0,0
892307220,259492491731017728,14,14,0,6,6,0,21,21
2942180530,634340836902309889,5,5,0,11,11,0,135,135
2792826356,0,0,0,-1,0,0,-1,0,0
371230382,0,0,0,-1,0,0,-1,0,0
1271505614,312802513671831553,4,4,-1,0,0,0,25,25
2257133126,0,0,0,-1,0,0,-1,0,0
457784581,0,0,0,-1,0,0,0,11,11
2860895410,0,0,0,0,2,2,-1,0,0
2762911348,513392965738184704,9,9,0,5,5,0,106,106
795548929,0,0,0,0,2,2,0,11,11
2902583986,539837395710271488,1,1,0,11,11,0,93,93
44979147,2046952065,2,2,0,1,1,-1,0,0
1855733838,387349106655760384,11,11,0,17,17,0,101,101
600192998,231433976621961216,41,41,0,2,2,0,21,21
366735927,0,0,0,-1,0,0,-1,0,0
2709444164,580225254112391168,1492,1492,0,6,6,0,142,142
42350371,1909484157,3,3,0,5,5,0,20,20
1411517634,394768821896355840,2200,2401,0,232,232,0,541,541
943786412,268019286755389442,1,1,0,2,2,0,32,32
2197045574,507880290706935809,355,355,0,786,786,0,626,626
403861927,0,0,0,-1,0,0,0,10,10
1709904192,0,0,0,-1,0,0,0,20,20
434257272,0,0,0,0,1,1,0,8,8
269900700,49901923670827008,1,1,-1,0,0,0,4,4
2880152518,0,0,0,-1,0,0,-1,0,0
540363534,0,0,0,0,14,14,0,32,32
1233965370,310300408390221824,13,13,0,35,35,0,10,10
321423635,0,0,0,-1,0,0,-1,0,0
493795363,170027825657675776,1,1,-1,0,0,0,5,5
599154468,210879382296866817,3,3,0,30,30,0,141,141
1269536568,0,0,0,-1,0,0,-1,0,0
76892087,0,0,0,-1,0,0,-1,0,0
2595251665,483396380141305856,2,2,0,2,2,0,102,102
2992645320,0,0,0,-1,0,0,-1,0,0
1500241862,344304030044000256,3,3,0,9,9,0,11,11
2607990450,485848644554592256,7,7,-1,0,0,-1,0,0
2731217093,706997522523414529,1,1,0,232,232,0,109,109
87177298,174624691552657410,2200,2649,0,131,131,0,287,287
2491315352,465823771052363776,17,17,0,10,10,0,34,34
224230382,29266253927424001,1,1,-1,0,0,0,1,1
542702277,0,0,0,-1,0,0,0,11,11
433901162,145732075243311105,3,3,0,1,1,0,3,3
105545516,7836370633,62,62,0,37,37,0,75,75
2278770540,1014478241074016258,2200,2937,0,1958,1958,0,1738,1738
409912310,0,0,0,-1,0,0,0,1,1
2306778852,0,0,0,-1,0,0,0,36,36
2240879864,410954303088517120,3,3,0,3,3,0,2,2
174439224,0,0,0,0,5,5,-1,0,0
185623747,24891092329,1940,1940,0,2,2,-1,0,0
1609958322,1110956701933555712,3,3,0,2,2,0,7,7
2506818558,0,0,0,-1,0,0,-1,0,0
1483756603,0,0,0,-1,0,0,-1,0,0
2869448406,0,0,0,0,1,1,-1,0,0
2427974794,451496576788480000,3,3,-1,0,0,0,5,5
2919703529,0,0,0,-1,0,0,-1,0,0
2434326714,453648844014628865,1,1,0,2,2,0,28,28
563478013,195389898574934016,2,2,-1,0,0,0,7,7
2758598147,0,0,0,0,1,1,0,1,1
2361386228,0,0,0,0,4,4,0,7,7
2796318989,524639368850309120,5,5,0,3,3,0,44,44
453460299,153998858190467072,1,1,0,1,1,0,3,3
2750133369,0,0,0,0,1,1,0,4,4
2195033150,0,0,0,-1,0,0,0,3,3
495243273,0,0,0,-1,0,0,-1,0,0
1699478605,1281078514200928256,2200,34654,0,145,145,-1,0,0
226872631,14968722552791040,8,8,-1,0,0,0,2,2
610477399,214201201984667648,1,1,0,1,1,-1,0,0
775965734,0,0,0,-1,0,0,-1,0,0
841712941,255319104641171456,1,1,-1,0,0,-1,0,0
293648085,66211461659238400,3,3,0,2,2,0,8,8
1903432070,0,0,0,-1,0,0,-1,0,0
375785085,115812335691640832,1,1,0,8,8,0,23,23
2178500906,398142732767485953,20,20,0,12,12,0,64,64
314782176,79328909174382592,4,4,-1,0,0,0,6,6
539106382,185017114330005506,5,5,-1,0,0,0,322,322
349438515,174861865959178241,2200,3064,0,119,119,1376361168798770845,191,191
736391197,0,0,0,-1,0,0,0,8,8
2492574628,0,0,0,-1,0,0,-1,0,0
