id,followers_cursor,followers_pulled,followers_count,following_cursor,following_pulled,following_count
2315337690,-1,0,0,-1,0,0
129007523,0,15,15,0,3,3
575831485,-1,0,0,0,6,6
32670411,0,3,3,0,20,20
290473066,0,2,2,0,1,1
410112779,-1,0,0,-1,0,0
555533734,0,311,311,0,112,112
509055813,-1,0,0,0,22,22
2172324931,0,1,1,0,16,16
2203768645,0,1,1,0,10,10
1427008184,0,4,4,0,12,12
293155545,0,3,3,0,2,2
441189239,-1,0,0,-1,0,0
1588507856,0,25,25,-1,0,0
1271046680,-1,0,0,0,4,4
513413949,0,5,5,-1,0,0
140444702,-1,0,0,-1,0,0
2826482433,0,4,4,0,14,14
1673718824,-1,0,0,-1,0,0
275283416,0,2,2,0,1,1
1256677638,0,26,26,1442572503854405226,123,123
59700687,0,17,17,0,32,32
454038743,-1,0,0,0,3,3
1697255982,-1,0,0,0,10,10
2222484949,-1,0,0,-1,0,0
590902416,0,1,1,0,22,22
1381012927,0,1,1,0,24,24
615622931,-1,0,0,0,4,4
1243506248,-1,0,0,-1,0,0
1181508727,0,8,8,0,25,25
1168142094,-1,0,0,0,8,8
192913473,-1,0,0,-1,0,0
488750073,0,1,1,0,5,5
315601492,0,125,125,0,508,508
2205647443,-1,0,0,-1,0,0
311117577,0,2,2,-1,0,0
124512329,0,207,207,0,234,234
2291668629,0,7,7,0,29,29
187642171,-1,0,0,0,1,1
46963856,0,3,3,0,11,11
477700262,-1,0,0,0,9,9
301110843,0,3,3,0,50,50
334634812,0,5,5,-1,0,0
2639010023,-1,0,0,-1,0,0
21191808,0,118,118,0,429,429
2212236485,0,1,1,-1,0,0
2872644659,0,23,23,0,232,232
970741922,0,4,4,0,17,17
160026018,0,5,5,-1,0,0
2256747967,-1,0,0,-1,0,0
2239697738,0,3,3,0,18,18
2179660874,-1,0,0,0,1,1
710981217,-1,0,0,-1,0,0
892307220,0,6,6,0,21,21
2942180530,0,11,11,0,135,135
2792826356,-1,0,0,-1,0,0
371230382,-1,0,0,-1,0,0
1271505614,-1,0,0,0,25,25
2257133126,-1,0,0,-1,0,0
457784581,-1,0,0,0,11,11
2860895410,0,2,2,-1,0,0
2762911348,0,5,5,0,106,106
795548929,0,2,2,0,11,11
2902583986,0,11,11,0,93,93
44979147,0,1,1,-1,0,0
1855733838,0,17,17,0,101,101
600192998,0,2,2,0,21,21
366735927,-1,0,0,-1,0,0
2709444164,0,6,6,0,142,142
42350371,0,5,5,0,20,20
1411517634,0,232,232,0,541,541
943786412,0,2,2,0,32,32
2197045574,0,786,786,0,626,626
403861927,-1,0,0,0,10,10
1709904192,-1,0,0,0,20,20
434257272,0,1,1,0,8,8
269900700,-1,0,0,0,4,4
2880152518,-1,0,0,-1,0,0
540363534,0,14,14,0,32,32
1233965370,0,35,35,0,10,10
321423635,-1,0,0,-1,0,0
493795363,-1,0,0,0,5,5
599154468,0,30,30,0,141,141
1269536568,-1,0,0,-1,0,0
76892087,-1,0,0,-1,0,0
2595251665,0,2,2,0,102,102
2992645320,-1,0,0,-1,0,0
1500241862,0,9,9,0,11,11
2607990450,-1,0,0,-1,0,0
2731217093,0,232,232,0,109,109
87177298,0,131,131,0,287,287
2491315352,0,10,10,0,34,34
224230382,-1,0,0,0,1,1
542702277,-1,0,0,0,11,11
433901162,0,1,1,0,3,3
105545516,0,37,37,0,75,75
2278770540,0,1958,1958,0,1738,1738
409912310,-1,0,0,0,1,1
2306778852,-1,0,0,0,36,36
2240879864,0,3,3,0,2,2
174439224,0,5,5,-1,0,0
185623747,0,2,2,-1,0,0
1609958322,0,2,2,0,7,7
2506818558,-1,0,0,-1,0,0
1483756603,-1,0,0,-1,0,0
2869448406,0,1,1,-1,0,0
2427974794,-1,0,0,0,5,5
2919703529,-1,0,0,-1,0,0
2434326714,0,2,2,0,28,28
563478013,-1,0,0,0,7,7
2758598147,0,1,1,0,1,1
2361386228,0,4,4,0,7,7
2796318989,0,3,3,0,44,44
453460299,0,1,1,0,3,3
2750133369,0,1,1,0,4,4
2195033150,-1,0,0,0,3,3
495243273,-1,0,0,-1,0,0
1699478605,0,145,145,-1,0,0
226872631,-1,0,0,0,2,2
610477399,0,1,1,-1,0,0
775965734,-1,0,0,-1,0,0
841712941,-1,0,0,-1,0,0
293648085,0,2,2,0,8,8
1903432070,-1,0,0,-1,0,0
375785085,0,8,8,0,23,23
2178500906,0,12,12,0,64,64
314782176,-1,0,0,0,6,6
539106382,-1,0,0,0,322,322
349438515,0,119,119,1376361168798770845,191,191
736391197,-1,0,0,0,8,8
2492574628,-1,0,0,-1,0,0
2298420168,-1,0,0,-1,0,0
897900631,0,3,3,0,45,45
2484691443,0,4,4,0,9,9
58550871,0,2,2,0,15,15
136886942,0,291,291,0,352,352
1019018251,0,2,2,0,9,9
189787944,0,34,34,0,60,60
1254208171,0,1,1,-1,0,0
374152589,0,28,28,0,129,129
1240234080,0,240,240,-1,0,0
2363686808,-1,0,0,-1,0,0
488708063,0,1,1,0,13,13
2923431843,0,2,2,0,16,16
1687670749,-1,0,0,0,19,19
2716856697,-1,0,0,-1,0,0
2198963701,0,12,12,0,37,37
2490495370,-1,0,0,-1,0,0
181673017,0,14,14,0,4,4
1429475934,0,39,39,0,55,55
508285778,0,59,59,0,57,57
1245924085,0,174,174,1428762233697251901,497,497
700422019,0,3,3,0,58,58
614822410,-1,0,0,-1,0,0
2426360784,0,5,5,0,44,44
110622338,0,8,8,0,8,8
166065762,0,4,4,-1,0,0
2971861872,-1,0,0,-1,0,0
459965982,-1,0,0,0,2,2
2324541144,0,1,1,0,3,3
554689551,-1,0,0,0,9,9
309710693,0,3,3,0,9,9
1596071324,0,4,4,0,4,4
1524773546,0,2,2,0,92,92
631431327,-1,0,0,-1,0,0
2804233412,-1,0,0,0,1,1
418836787,0,26,26,-1,0,0
730516406,0,2,2,0,8,8
252641785,-1,0,0,0,1,1
