id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
560366087,194116004132044801,3,3
251818306,313768755257802752,1817,1817
32361889,1541092496,33,33
554792014,191709294314528768,3,3
1036242523,295584032723447808,1,1
316738902,80397368696127488,13,13
2367391207,463026657805484034,28,28
501858399,173066233061715968,4,4
184388767,22435037483,1,1
591177532,247641430598758400,59,59
142324435,13734392963,8,8
424057638,160215090891726848,210,210
147023553,14527474388,2,2
207474709,279204602556059648,10,10
2594059593,475871037671104512,1,1
1874899273,380462082719621120,8,8
232843057,21201174652788736,1,1
185838465,123375684654612480,3200,42778
2767059614,503953304825909249,1,1
369548628,212272889104318464,2696,2696
582456814,217944825478127616,1,1
619657712,217831764083740672,2,2
67958262,3500192758,4,4
2323846471,430002194985652224,1,1
2732852920,504561185338183680,1,1
146216674,14388473610,2,2
1114419643,297262488305692674,138,138
631557880,222515129382748160,169,169
71251125,3842457870,1,1
1043909250,305608835962392578,1,1
17708489,1040595664,1916,1916
253677157,38313257278251008,5,5
324534978,168794037854281728,200,200
313526473,78553068341444610,1,1
79534132,4679339104,324,324
47526463,13758934888,6,6
1863806768,461706336376344578,1,1
53119133,2439705543,1,1
146644685,748122232623403009,4,4
382624014,329824223726030848,42,42
135201088,12525337063,1,1
1068389322,288303694812958721,73,73
706046658,226112234722557953,8,8
1086088376,303148225018351618,39,39
727977774,230269391521067008,2,2
46847394,224734725087043584,6,6
509678513,175060919288737793,4,4
2538222564,474801304330444800,1,1
64962542,3261303981,2272,2272
198492107,733252071407931393,59,59
2437028232,454270982384254976,29,29
1512553700,345067078862139392,178,178
128678490,277578691779895296,2,2
1240570441,328333026322960384,1,1
358167948,115614645473116160,95,95
44103339,183420971330453505,3200,9043
606606174,212614024351842304,3,3
764892163,335909237039456256,3200,3713
478856453,1198008568424882180,3200,22851
2926080809,545019797457887232,6,6
142483668,13801587187,18,18
1609339165,358886464685223936,2,2
528845859,1081290097859985409,11,11
2809557022,767770714392956928,14,14
1063583083,437125985507356674,3200,5119
1432316623,335130377041625088,2,2
545900562,196882944923672577,6,6
2192595254,402482958738530304,1,1
2853971888,521543747620720641,1,1
19917843,452919094874873856,3200,5063
904590462,261565460565336065,1,1
1562212932,360697425666654209,35,35
249067895,34901509716185088,117,117
2861499831,529763860526678018,5,5
474666449,162429785803456512,1,1
2172366417,398518125530206208,1,1
461671740,160528929155850241,17,17
474934233,164543202215473154,3,3
2837344928,518133278302560256,39,39
2347134087,435649767218372608,18,18
80257358,960066547006939136,3200,19221
1500115530,349174157210157056,5,5
2992655470,583042750037127168,143,143
2302706882,485363396796104704,2,2
1268692340,316283583436320768,12,12
2721624450,499259192105259009,9,9
554915995,191780122662158337,3,3
191417771,24658109316,1,1
35772176,1629810600,6,6
585911528,205963431159934976,178,178
193584569,25186822881,1,1
43198597,18450507913,107,107
2176953571,398009672369975296,520,520
1148031655,298428299607154689,5,5
497312435,171757400561426432,4,4
16622164,948923603,65,65
81544926,8123442012360704,3200,4190
9026792,285378962,5,5
536164763,260863482747052032,3,3
272458125,112653966252322816,3200,3285
271365530,51975589527171072,6,6
279411853,56607371367165952,4,4
584269772,203639615645696000,1,1
803521602,243149081629839360,2,2
961116732,271248947476041728,34,34
361693425,132259127866032128,4,4
63752064,3179148954,16,16
1429500570,334562149122854912,1,1
1010289630,298517629923110913,9,9
107541944,8087632099,14,14
1271186773,406048503039680512,3200,6589
1462445912,339045531236048897,444,444
1435742562,-1,3200,10191
1339289274,328108104816414720,10,10
134606161,12423284726,856,856
383701982,120474792347435008,10,10
551872710,618331422433112064,3200,3878
759656118,235779929009168387,3,3
2688489336,493940814356029440,9,9
541997506,193348849945939968,1,1
25178736,1367535073,190,190
479604827,164371305469181955,1,1
802893763,254960409017192449,14,14
2399658502,443406826089250817,2,2
2168890627,396345538271928320,1,1
2563844665,478009341170053120,5,5
2867339693,531086029529559040,1,1
1672425954,367903415369601024,1,1
1349652372,323112421877223425,1,1
1541202187,348824892956872704,11,11
70332362,192411190134185984,3200,4850
423303865,222063789300920320,27,27
472093830,162186114894004224,87,87
590648361,206233358194311169,17,17
549776486,189558360402698240,1519,1519
2728265055,494154996079144960,114,114
195815543,25705101640,1,1
2920098642,547000681144401920,12,12
371178263,112480720143925249,1,1
2485488482,798457203137146880,11,11
338049165,373088182134259714,172,172
1174333903,302018546874077184,95,95
1545765967,360908777098190848,38,38
840603434,249831896308146176,44,44
2987940495,625010697806708738,1,1
800791868,242670798509314051,3,3
2534594131,556707524679045120,500,500
2908548939,557999864672681985,3200,3429
2916139652,555643236102856704,4,4
632824179,297240083726221312,1,1
2371593942,677144300619104256,4,4
1389344766,328967794123210752,18,18
2259357633,418956127985205248,45,45
625737313,220208796658704385,14,14
1575854832,353972098139557888,1,1
594103540,207605378060521472,4,4
1480459158,476033987543334912,1,1
634070800,974862405170794496,10,10
103138215,182210555807936512,3200,8949
324003717,85510185522700288,103,103
1213959464,305459803461918720,378,378
2547040965,559193670721617920,5,5
