id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
129007523,11504272778,1,1
32670411,1546860218,1,1
555533734,192432350179758080,1287,1287
509055813,174915109091688449,2,2
1427008184,341283635351154688,155,155
293155545,78989917191028736,2,2
1588507856,846529696925978624,166,166
140444702,13428713505,1,1
1256677638,830766958350065664,3200,9668
59700687,2814110141,11,11
454038743,154220235879227393,10,10
590902416,206342561491730432,1,1
1381012927,327632905985728512,1,1
1181508727,302349821719748608,44,44
1168142094,301767930645970944,1,1
315601492,102816939872747520,18,18
2205647443,403280070057263104,1,1
124512329,10731290606,604,604
2291668629,424897721666129920,16,16
187642171,23858363260,2,2
46963856,2157782872,16,16
301110843,70978047637061633,8,8
334634812,91124102672289792,3,3
21191808,21424123226,1240,1240
2212236485,409324185048346624,3,3
2872644659,532239481991340032,63,63
970741922,273101466984652801,65,65
160026018,17180330088,118,118
2239697738,410499755655974913,2,2
892307220,259492491731017728,14,14
2942180530,634340836902309889,5,5
1271505614,312802513671831553,4,4
2762911348,513392965738184704,9,9
2902583986,539837395710271488,1,1
44979147,2046952065,2,2
1855733838,387349106655760384,11,11
600192998,231433976621961216,41,41
2709444164,578927427935563776,1509,1509
42350371,1909484157,3,3
1411517634,331922855690375168,2401,2401
943786412,268019286755389442,1,1
2197045574,507880290706935809,355,355
269900700,49901923670827008,1,1
1233965370,310300408390221824,13,13
493795363,170027825657675776,1,1
599154468,210879382296866817,3,3
2595251665,483396380141305856,2,2
1500241862,344304030044000256,3,3
2607990450,485848644554592256,7,7
2731217093,706997522523414529,1,1
87177298,22078456488,2652,2652
2491315352,465823771052363776,17,17
224230382,29266253927424001,1,1
433901162,145732075243311105,3,3
105545516,7836370633,62,62
2278770540,762326546900066304,2936,2936
2240879864,410954303088517120,3,3
185623747,24891092329,1940,1940
1609958322,1110956701933555712,3,3
2427974794,451496576788480000,3,3
2434326714,453648844014628865,1,1
563478013,195389898574934016,2,2
2796318989,524639368850309120,5,5
453460299,153998858190467072,1,1
1699478605,1256466663953715200,3200,34811
226872631,14968722552791040,8,8
610477399,214201201984667648,1,1
841712941,255319104641171456,1,1
293648085,66211461659238400,3,3
375785085,115812335691640832,1,1
2178500906,398142732767485953,20,20
314782176,79328909174382592,4,4
539106382,185017114330005506,5,5
349438515,108243136362446848,3063,3063
897900631,260416129263075329,2,2
2484691443,455775066337587201,8,8
136886942,272380057522143232,3200,17301
1019018251,317896151670087680,1,1
189787944,572868574135500800,3200,4239
374152589,239472118939652096,3,3
1240234080,334929654693638144,3200,5774
488708063,168051289597554689,2,2
2923431843,544577182740545536,5,5
2198963701,402387122260172801,22,22
181673017,170623239490502656,2,2
1429475934,334529496000651264,17,17
508285778,180414752151977984,31,31
1245924085,309282132923150336,647,647
700422019,225104366057697280,4,4
2426360784,518185294529835008,1,1
110622338,8531314338,48,48
166065762,22248511434,5,5
459965982,156638980799074305,11,11
309710693,514399885207293952,2,2
1524773546,347587282846494720,2,2
418836787,139027730325970944,12,12
730516406,230630613940568066,7,7
1418067878,332844473866399744,49,49
336566851,92243113220915200,1,1
2306406000,433375006932754432,2,2
466809710,159376121044013059,5,5
2958543277,587198217068027904,1,1
77561766,4400833296,1,1
262141360,44743531436322816,167,167
2610684799,486294130859855872,11,11
2816343002,512461075149643776,1,1
1637296741,385943009314865153,6,6
389509750,153402097977659392,92,92
156977228,16470813180,2,2
569010167,202705898039291904,3,3
1598166786,437577808647176192,4,4
2841244545,524970067491311616,8,8
329687866,100219127129583616,6,6
325217854,86304970076463104,2,2
994111638,313577127305957376,1,1
157243928,1063781089393631232,1,1
278210562,89738283101335552,4,4
2376429869,440165214156505089,1,1
2963635366,552360593567780864,30,30
841659510,249855021850693634,1,1
1326877994,320287767420624898,2,2
1078667490,289621734590672896,8,8
241926485,29255329111871488,3101,3101
2609504754,489798963071942656,2,2
2982281722,556502745071751168,3,3
2934248271,546425469458210816,1,1
1280197057,314339181335818240,4,4
1136606106,298171889745022976,61,61
335271289,458333933386883072,11,11
1464339469,339652798633361409,3,3
6715202,1311749318051803139,3200,43350
391148878,125056674082992128,1,1
2201868052,478184584362725376,2,2
363714559,252120597813944320,4,4
2926150677,545038529748008962,2,2
111611004,8679928020,1,1
1331520409,377713668135600128,28,28
65514628,6629397061,1,1
901368342,261750669990563840,5,5
1644945656,363976757340160000,1,1
270263551,87905723962507264,12,12
397165180,128418250659872768,106,106
1633230848,362253971131342848,30,30
2592611609,489965291393519616,3200,4524
2439482934,454843735663452160,491,491
2791893672,509426108014419968,5,5
38369595,3727830935,9,9
2243871212,411481138679406592,1,1
752015419,234422503378923520,1,1
543743852,186930426777055233,4,4
215989834,4173473349894145,2321,2321
2305631532,426149217141133312,2,2
572175909,200610893258690560,13,13
584171990,205252940154408960,31,31
1335334386,321049105310810112,15,15
22276914,63425857045266432,1734,1734
376204807,115786963939897345,2,2
52177058,531698992854224896,3200,4379
195314714,25582515861,477,477
2723859211,498811064029442048,6,6
2709709489,725280383005241344,1395,1395
843456570,253774664910909440,899,899
2264797037,420282114605862912,1428,1428
175790644,20563607951,1,1
2901828445,534713736259309568,1,1
475584528,903931326428049408,17,17
590622020,206259389127073793,19,19
1320273151,321291757956517888,1,1
924067740,279051672666398720,6,6
400452371,140086507934461954,146,146
873565422,495209332129419265,3,3
2601717884,1073762486359212032,3200,11756
227460808,168059513902088192,1437,1437
710192461,226927075959918593,9,9
1180082718,335814238050328576,36,36
2740352942,501093079726555137,4,4
2254709844,413957572945657856,11,11
149062796,28424116520,1,1
2261486960,417603121716543488,7,7
275385979,53686812224401408,1,1
2160949163,427982785358614528,1,1
265225799,46819859975241728,3,3
248183973,34682948926054400,42,42
259895828,43045821498929152,1,1
2937100752,546302539637854209,2,2
189205853,24123247731,243,243
55558792,2704200240,1,1
2463924186,630818997760606208,38,38
140883253,451115345416585217,26,26
293786085,66290336821022720,1,1
945207439,268220808747429888,1,1
2367882805,1096754102686703616,10,10
2527818078,471329339724664832,17,17
526165058,180568866861232128,5,5
519575287,178142591945150466,2,2
2572807573,482133285271654400,23,23
2508410389,468492630905466880,5,5
2784156223,506437709955891200,47,47
481106375,1095191995251752961,1,1
1139904062,722024019357097984,26,26
1184543833,390312188600016896,1,1
2175791825,400233947940274176,2,2
2890734277,1106853195517579264,9,9
783505537,244509965291778048,34,34
1732391252,640914364380413952,903,903
458822955,156167628522663936,28,28
2227096370,469716767754166272,106,106
2167426278,396060741112832000,3,3
558260060,193191833101275136,929,929
2347446410,435470012371853312,41,41
