id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
510270720,175591782673956864,1,1
220819678,9022052711276544,3,3
714997622,495198953378304000,55,55
546883132,188284521374941185,21,21
496584590,171075835204341763,1,1
391594347,125311253542469633,5,5
2543525588,473825097321418752,1,1
272710047,57935979121610753,15,15
1692978744,371716296980697088,1,1
1336657736,321254926485426176,4,4
540217637,192627650408353792,7,7
350017736,100032421239590912,2,2
2431560414,454529182903435264,3,3
218081904,745643736437252098,2,2
68580973,3526208710,76,76
2384816432,443646063086276608,2,2
208997857,29313944681,3,3
131075588,196396490443333633,10,10
191543788,884155158191632385,1,1
2482663196,464127234320527360,1,1
91185706,388114440299634688,2,2
383862347,120546915296350208,123,123
212696168,1827213112516608,4,4
2943284099,571507099206856705,5,5
1908701672,515721067256881152,34,34
460830296,156966661897977856,1,1
925808887,265200671798730752,19,19
1669997544,1290261153956864002,3200,12797
931151564,266026623445393410,129,129
2526394254,471126006472798208,1,1
571533176,198674742654402561,42,42
2781052404,864191622376017921,3200,10508
1410089276,1129715247764295680,3200,38915
1258174802,310898550848503809,3,3
2951722037,1206333055952211969,2,2
79744383,4603987469,1,1
359839068,105557743024340992,1,1
1209238465,332525035640201216,91,91
2509954387,468741283725332482,2412,2412
351708575,353501231978786817,86,86
627389552,399872841732325376,503,503
1965386400,390567698289012736,30,30
1470833180,340251777058349058,421,421
167878585,19114362496,18,18
2370508419,440567427764867073,11,11
1636731043,797978684384681984,12,12
2943368578,548717270474964993,6,6
114728978,9192153879,144,144
54198499,34861804114939904,527,527
2343847324,687059495785213952,3200,5446
2992745754,558442791781404672,1,1
2817481428,512665835245027329,8,8
1965461594,390577228271980544,3,3
358934266,104996700900438016,90,90
856054699,570601947742519296,16,16
2428560624,452375067079356417,15,15
180202497,21539737629,1,1
2977653500,554763092681162752,252,252
1419323292,333229888024752130,8,8
1253686069,310294062332784640,2,2
171777053,184224084886953985,3200,4828
2677697145,489610429673766912,827,827
2258388748,418777375221243904,455,455
59617889,2807622913,1,1
1467237877,570721344872169475,10,10
