0,1,2
2315337690,1242089248,2624239376
129007523,2670937301,2807344190
901980461,1104996223,208202837
1705953546,1615676914,2755557184
575831485,349255855,1982269194
32670411,2243513567,1042283491
111028093,312008368,686769632
2575067961,2279871736,1725627745
2810728926,1496368754,2298687012
290473066,1724049071,100974954
1067805890,2417284206,2886087946
1201732527,1841782639,2429458878
410112779,2894351654,1195846898
2743293624,2414991960,479962666
2634805825,2123648361,1327978351
555533734,1325524686,1338846197
1082461329,2177536103,345068332
594157657,1044637519,1351261179
509055813,123455956,1759760639
2172324931,1292590570,769188504
2249456844,2761932909,800447402
2027327626,2771904506,1422678861
2203768645,1938166979,2821801764
1427008184,2233462192,1450206822
293155545,86888985,2817831890
441189239,2036904544,2085853371
1123287216,2056662589,1089498979
2493645621,1097788339,2985988592
2899007722,730066994,2946603080
795522664,802912314,2200821824
1223303667,1804503365,2857965556
968545367,916267751,2048455666
1588507856,1854299062,2663011724
1286104280,2193587786,1632768860
2840990333,2686273626,1641876618
1294554105,2765151732,2983792517
2024475407,1602976811,1332877388
2224351552,595511130,681421106
1271046680,2271055517,1377762639
87878808,2960419125,810940257
513413949,1437144110,2414892989
140444702,2497761616,2374255007
1090208776,1682591185,2729031426
2283612899,158789799,1901587612
2826482433,28805774,619240638
2555652281,2132399239,2627929279
1601719018,1136643788,1881458205
2219098336,595241100,572730849
1673718824,2265312374,314621891
1427356191,111988532,831609451
1750261699,2480127230,2045493809
13881282,613114978,1826686135
275283416,1635017729,1071060281
1256677638,1283860440,2629562464
59700687,1351438758,1469628669
11232337,2055657331,1922132084
2793535494,433401053,1529690754
2100607747,2049664711,2465885573
761836273,508102534,1042376947
1428283789,2079058091,1676909844
454038743,835204767,861846589
2046998088,406485683,457596637
1697255982,491231731,739796868
681634000,2223568704,1477042741
91576418,2948888983,2894689946
2432391452,711678378,1601042967
2222484949,2285764678,1305977481
817958909,2567406433,1506005562
642790074,2478743635,981242282
828167721,2679694475,2566958584
590902416,615134041,1902681567
525839413,2570542408,955975220
1381012927,2787885543,2154982714
615622931,815010621,707108199
1294150108,1782458143,865862276
1236324331,108408745,1780012484
1243506248,17895926,1716390287
1181508727,516471637,2062165485
1168142094,421335308,1795553450
1991925407,2389143983,399092831
2014015624,325231733,1024474899
192913473,2408979037,2697892958
1944917886,2681112957,892955457
2527255941,7110,586371731
488750073,2066193371,2677722002
1101133438,75232936,2380150099
315601492,1505637481,786985781
2205647443,1895522125,1379358411
2077222424,2698303959,1940075349
1747950937,270257012,820908711
285583274,744614574,102781213
2594244279,2670517168,21557902
311117577,464050327,1351505080
2694462670,748674861,1217047504
124512329,2560106837,1926677563
2970347017,1521371192,2991607422
2291668629,1672929850,818289857
187642171,2345834700,2279078215
46963856,2747046082,2707631745
477700262,2666706460,1851845260
