id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
2713428134,497200570805936128,2,2
17694998,1027220068,30,30
1219239781,-1,1,1
2529739978,463326582451748864,5,5
247429222,573365960607965184,3,3
1195156855,306712285626396672,7,7
517295635,331536619058364416,6,6
178932916,25910872920,140,140
68285808,3502914635,3,3
25677838,1367835305,18,18
1868548734,379299739503968256,3,3
1157429136,299550443900645376,228,228
595833375,208280291012386816,1,1
242425990,29661639405993984,6,6
730226924,611449808184836096,4,4
512679712,180078865241214976,25,25
230464806,46921494504284160,26,26
1916418158,393175146824884224,2,2
149273968,14934177495,654,654
464720891,957201177174839296,1,1
1877856715,651040762185035776,10,10
2803767378,510077445286813697,1,1
2460112554,459047691470012417,2,2
2413241714,449701852402425857,667,667
561790324,211867289329471490,1,1
2891726659,830443740011565060,5,5
818779230,245749418358366209,22,22
2523096638,470617816316387328,6,6
700752205,225577598254723074,28,28
2850212230,527524447671296000,28,28
2961415895,562649901578735616,233,233
1148561184,397450703116845056,2,2
722100632,254889194692939776,5,5
149028720,198308148619128834,53,53
2746294557,517502949929406467,2,2
336090034,188022298438144001,12,12
2215705447,405357337210138625,78,78
1219256677,313361393170673664,100,100
246962735,33261439741468672,2,2
1365489870,870044370652635138,12,12
1099397978,292032980015267841,2,2
1457441341,348077292930621441,18,18
28476824,1442608182,1,1
2590290907,482271192817340416,41,41
2330908943,438348392218259457,2,2
280607277,57521427355672576,8,8
417609225,138481349756592128,1,1
472256561,161535590725189633,9,9
483646030,166066641170468864,8,8
152818287,15588781200,1,1
246150919,32697920696356865,4,4
547231475,188797736265596928,4,4
504826082,173836012877914112,3,3
68004499,10005396214,736,736
532619712,332972538361688064,5,5
1850073594,377260341207371776,3,3
586411103,204529622497509377,287,287
1680288864,429885201180000256,9,9
935174683,266617040339599360,52,52
2571878500,472591414669623296,1,1
2384513766,516076019732578305,1,1
862934810,320333201140748288,9,9
1959502981,421948004648902656,1,1
55486974,2564075742,400,400
2679658046,492876910817329152,40,40
262394261,44911106346598400,25,25
2402458717,447881590669328384,105,105
1904153886,382858858470723585,1,1
833802234,248487235492655104,1900,1900
2571927211,490012825591365632,3200,7552
1690962721,370530813571371011,1729,1729
2845456426,526418369793519616,120,120
2844470523,526171446549413888,1,1
161699917,236221253764136961,205,205
1653004842,365117158621061123,190,190
1930403078,385786058429837313,12,12
54528110,2513062302,3,3
1354193899,323769999938420737,1,1
1585201380,357439712681668608,1,1
188631220,23983856405,1,1
1265370440,313529875526987778,4,4
232805415,21152892715016192,15,15
2199722985,407095071654543362,188,188
1352852300,323561075788365825,7,7
42389378,547955537766137857,4,4
41866569,1885230451,1,1
236260724,40679872632336384,7,7
351799948,204349894578802689,92,92
40345233,1810735755,35,35
17587310,1021862228,3,3
393968271,126625686348759040,239,239
1313435612,386962578418974720,2,2
149813803,15030203355,1,1
2565825300,477544728439713792,410,410
46392797,2117176144,77,77
955897698,509530900481466369,2,2
269650662,491389149136830464,3200,52275
129837877,11650462436,174,174
260962666,1156371014122524673,3,3
1410213216,331762557482315776,199,199
445121955,150402083684757504,59,59
1602160884,357665468984725504,1,1
1161095658,300576601173803009,3,3
579258971,616714530488389632,1,1
150068191,15074695271,2,2
90743985,5874969080,13,13
2895336120,531705205113376768,11,11
936199880,266785823763075072,2,2
1195864914,332583767271145474,5,5
2801567849,518087886952861696,3,3
1408843123,392590131946721280,3,3
1070613781,288632149052100609,4,4
447237607,151353075272122368,54,54
2427960392,452221206154862592,31,31
59354321,2791947488,3,3
556500008,194105919745957889,1537,1537
2918760385,540527281597186048,2,2
2469829183,461240084046434304,1,1
2258861066,416175594649300992,12,12
160530667,17247998960,1,1
2267897069,420715474931175424,8,8
402365962,131152956560130050,2,2
323418283,1057833801131417600,1578,1578
863495118,254292969102917632,5,5
1883705959,380785692215115776,37,37
321230937,84007207984836608,72,72
809263488,251082122255794176,1,1
2665303686,491141838196072449,4,4
48241481,2217708960,1,1
10421642,1258876193841057792,1,1
53313847,5287971630,38,38
728997787,230375211881623552,1,1
290173915,1263815414934581251,3200,43352
272594478,57565813871362048,8,8
904782798,672677212282195968,3200,10275
302560779,1257692538036609025,3200,82222
497678720,549230711870590979,13,13
1036749804,283972545844215810,1,1
1564605601,352247994134962179,73,73
