id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
238315710,27840278530363392,10,10
225515839,70894674516246528,4,4
1929258823,390973353160605696,405,405
2738497614,500811012598431745,3,3
366141318,255557462302793728,1139,1139
444159744,151494201186582528,403,403
1080325070,289790593222205440,6,6
370466029,111988653919703040,3,3
124619992,11199332312,26,26
2879590971,533996265751973888,134,134
450504564,152684673275932672,1,1
436269121,146749949240020993,1,1
2847542761,530029905287737344,2,2
841338283,249795689784160256,17,17
2817537843,1250948389392527361,19,19
233208142,101285075068534784,30,30
2592872397,475722603131596801,6,6
1427965579,553258176913485824,3200,8698
1576348700,1292834746490171393,1,1
2892748455,537491261276442625,239,239
2883433510,534871399366942720,11,11
837344198,249070711073804289,108,108
596884946,208700833657913346,1,1
2416580816,451206315939872768,1,1
126519068,11071338891,23,23
513381578,184663808759955457,61,61
900157088,261224076981440512,2,2
350438361,125592161071804417,4,4
2501656790,467672475304603648,1,1
2864106665,530411774810812416,2,2
731976780,233319074950696960,4,4
2995602527,930874473494040577,2,2
1217184738,330843625007239168,859,859
488265090,167885843380453376,1,1
2234375484,409288038640926721,3,3
1703625308,374629550980104192,1,1
60473567,2863930896,1,1
461061240,157223142207655937,100,100
1388979504,502628166276775936,3200,13455
610169999,273165231025430528,1,1
186057082,29065712762,29,29
64247131,3213048412,30,30
42275138,268554784213184512,8,8
2511341678,468849424819814401,9,9
250410148,82104481252253696,11,11
2186725826,399592480728809472,16,16
1368279313,329343397032759296,3,3
2963284618,562673081526018048,4,4
1334790822,321021654132215808,712,712
100421828,596947650525560832,3200,3520
518219694,354837021577064449,80,80
617769049,217114355433619457,508,508
2569988507,676817802645413890,270,270
87666600,5466681207,23,23
584780240,203848498645442560,1,1
321080829,82969059888611328,7,7
274555927,-1,2,2
2960704453,552430923120381952,1,1
2887787686,968926095398658048,26,26
1925507916,385249378547404800,3,3
154808603,17324126723,2,2
1673922529,371616357148008448,1,1
1184028902,302555577429684225,1,1
2345242498,434815245874634752,35,35
1459925762,682247080094625792,2303,2303
2719434265,498110038854995968,1308,1308
36385270,1649773646,2,2
1726394479,411400169910173697,3,3
1070646049,288647859249770496,1,1
427824343,160123827970510849,128,128
1440973124,336087053236305920,1,1
71740541,114783218011615232,3,3
1413788876,342350621946568704,1,1
534834120,376016677810364416,6,6
83978653,5033967807,613,613
2423305946,451241208116178944,1,1
1607065154,358390409619189760,1,1
241011951,29934922189766656,1,1
2712895635,495815798888595456,2,2
2607234431,477577888275787776,2,2
205110451,27903933404,110,110
753648218,234761587729264640,3,3
824067044,246740567881576451,629,629
861862483,941776402780532736,3200,4596
1926945920,385401801194745857,7,7
624958045,1054331020634415105,3,3
1716461604,373991157929242625,18,18
158882437,16882791283,46,46
2959958949,930165602127249408,1,1
2241865216,415909455981998081,2,2
2660861117,484712552497041408,3,3
2526879934,462777192460472321,6,6
755517416,235065550429097984,1,1
2468635525,460982484734578688,2,2
774964934,238510757178925058,9,9
76075764,4150220968,4,4
185471368,461519882346311680,3200,6561
1311206270,317322259255681024,272,272
110132264,8451850481,5,5
2162899685,396178992493236224,11,11
228796868,16925055518769153,7,7
2720568963,503075071045664768,1,1
355161923,246325940811079680,3200,4928
1196038411,344306064101093376,36,36
2228748483,413422317667360768,15,15
144290597,14065451387,469,469
548636123,442748937334960128,800,800
935777863,268768827486134272,7,7
2420282000,509966763115937792,1,1
82326773,4858932913,7,7
321121713,82993020173172736,3,3
2415571165,465733038379261952,6,6
