id,timeline_lowest_id,timeline_tweets_pulled,tweet_count
2485326740,464746445984120832,1,1
718922325,390890402976645120,1,1
137953878,826049792941846528,3200,25394
294940191,67056504980766720,1,1
607106908,298726197523800064,1,1
1047358976,285321736189251584,570,570
403407287,132042585714851840,2,2
1430584452,399456445596725248,1597,1597
1574620470,353857066181459968,5,5
182176200,266564804880265216,4,4
2727739149,1096394646962479104,1,1
339248637,374604862425559040,117,117
2989749088,557875116231884800,720,720
1542501854,352932863085248513,26,26
1919225778,384585950933688320,3,3
744805496,234198439238455296,4,4
2959259752,551506612801007616,1,1
1122601958,727190415812775936,5,5
175753871,20555784777,34,34
252744530,1318289952275369987,3200,23716
1880989638,380457503852466176,5,5
371523587,112697807697227776,1,1
2949793926,549782544791519232,24,24
540718130,213890703388979202,27,27
369314138,112731355930042368,2,2
439192136,170608609561030656,2,2
1562773416,444166156812034049,2,2
2873363993,532403975086428160,1,1
602184319,210847055122415617,796,796
455380971,154748515699011585,55,55
53059025,72070207560089600,824,824
322649637,94288804688564225,28,28
234971995,23191710297235457,1,1
397577329,132110062855532545,6,6
73657226,19738356670,10,10
135486662,12574636620,1,1
2358913032,535319542080086016,301,301
954325290,269932961254752256,49,49
2519587194,470078328242589696,4,4
1919547494,599949181411721216,3,3
2737146416,500910545478762496,2,2
1453735944,542357402100969472,401,401
136715218,12776498909,17,17
1395355309,329673907609165825,1,1
2267123210,417218098567979008,4,4
2270407112,475556351335464960,1,1
2630886262,480649561883803648,1837,1837
852391100,251943341665697792,20,20
2265848109,420305858334306304,6,6
345491979,97365515516907520,4,4
31176621,238456222737629184,181,181
2848014848,520042028789268480,64,64
787138022,240458424758972416,90,90
2157834097,394275076981276672,260,260
616397353,217284650589097985,10,10
468227224,159933772257697792,166,166
52838015,183670416487890944,12,12
960103843,293128434270494722,1,1
830360958,247918915852832768,1,1
435582725,194537447303024640,3200,3294
732691099,232794312088367104,4,4
543685873,187690932534120448,19,19
16471067,936024170,133,133
189144025,24107455621,1664,1664
1222007864,306425844262379520,78,78
1876970682,380088114087067648,10,10
291002845,325458096413622272,3,3
772037688,238745574101377024,883,883
1408868719,331539371255812096,5,5
250282690,35790076948643840,1601,1601
1034525118,283530850467975168,317,317
2760741779,507293954669555712,463,463
2816596394,512850823118725120,6,6
2672414371,543258127173287936,9,9
622814342,219062419341844480,1,1
2722431025,498624070594732032,1,1
330173180,88632712625270785,1,1
1300550118,316254435686883328,1,1
195931141,249674383818387456,2,2
431673104,144805234563235840,9,9
1104720583,775762465271455744,3,3
585037263,203909933777948672,108,108
2547535859,482751692568408064,317,317
55060587,251421268576989185,27,27
918978162,628073369057931264,5,5
29309073,20874330477,708,708
626509408,223601199860039680,290,290
2730768019,1237037676630429701,3200,22252
266550912,47633142772805632,17,17
316059448,80036617657647104,3,3
2942922198,548128824555102208,116,116
462367007,157580678043672576,2,2
1128631430,295940063139872768,4,4
2808106724,510889906294771713,1,1
2446962919,456380917502586882,2,2
395687218,127574013609385985,5,5
2949156112,1294755485489471494,3200,37757
2601520554,534098994285539328,1,1
440348923,148524439951245312,1,1
319501229,211944593447591936,3,3
24713801,1336938321,1,1
725359657,229810865715695616,2,2
245151431,32924442803838976,121,121
905091691,262694984904482816,139,139
737265714,272400103648669696,90,90
148492447,14788485258,6,6
1542661314,349061519780237312,29,29
177187456,20886948781,123,123
1585912824,355329154134196225,185,185
2341812519,445763395422519296,3,3
773505096,238369042354802688,723,723
284129764,120451481013993472,13,13
1310381263,317252368926404609,1,1
1176313352,1245027072277458944,2,2
2713481910,497210313616678913,1,1
1575944383,354015857275449344,14,14
1709037787,568624879483756545,3200,5606
506794656,227606646426320896,923,923
2264819011,472916525012488192,2,2
1002341390,364996197187981313,710,710
588098376,205170664699727872,174,174
2788223857,507240445521711104,15,15
506218332,174199909782781952,4,4
537101165,184586595163324416,18,18
381484069,119277618980847616,856,856
326265821,86125142513688577,1,1
236877861,24858387292360704,2,2
14776997,812765467,4,4
626487610,220521310999158786,29,29
2553413017,475408072534261760,19,19
67215961,3420241726,1,1
2999937312,560570281115516928,1,1
42779922,1930658356,3,3
1118270478,294643760657231872,8,8
1100567953,444429951970705409,2,2
488311413,167908930859700224,19,19
913033232,263376776049348608,1,1
2351849905,937827635182190592,2,2
2568859707,569596834924105729,225,225
2944058931,549978694346108928,31,31
77751177,4424308345,639,639
1651218265,364851859917246464,8,8
607414809,212945263281704961,229,229
435276235,146344295102808064,2,2
2938089817,546625084983504898,1,1
2386092930,444216519804084224,7,7
531581823,182163921145315329,4,4
318588388,81461029938266112,1,1
1413814908,332244432990654465,49,49
493140352,169789183211208704,240,240
1421373626,333307205459800064,32,32
41078177,33136240605798400,279,279
181987150,1248544515587059714,5,5
442581973,149397327847759872,4,4
1547842836,349839590040940547,234,234
1414969308,332423573580947456,4,4
538123029,184665432496680960,3097,3097
461747739,157326053600268288,148,148
2303902896,425785462536417280,4,4
506776893,174333810501107712,15,15
467132406,161726092946841601,2,2
911855089,262800897116102657,97,97
787131715,888674505526202368,7,7
190916878,24541361132,1094,1094
446189899,150932136214528000,1,1
157344774,16552954892,25,25
367341947,110190360684277760,2698,2698
177300639,23969895968,2,2
1220276808,306252745025933312,1,1
443485557,149753778529247232,1,1
782739865,395275167498121216,6,6
23495430,266228715594326017,1,1
358609885,889568474053455872,3200,30921
471003481,264009815670530049,1,1
944973132,268273012686602240,10,10
2271726915,421407969528799232,1,1
2924032615,542330909907615745,33,33
1331028678,326346698492350464,1,1
573707148,199689544931614721,140,140
472722490,223711745145962496,451,451
1312624758,317502264157798400,169,169
991480909,286057028533751808,85,85
714854306,228027076031164416,603,603
273506912,52410708553515008,3,3
1487658253,383743176168972288,319,319
1469109248,340010640339001345,2,2
2270941568,424904705152942080,1,1
296445042,237886737119064064,6,6
21463586,1233298964,500,500
305318281,678999597675634688,1,1
1321924777,318980624465666048,2,2
1745432864,376306286574313472,33,33
600141570,210037789851525120,30,30
132862170,1258715255980593154,3200,19485
603020677,211897322563579904,1,1
1376566040,326989767088672768,14,14
1285133652,314615239385706496,483,483
247101910,711948019277631488,3200,18060
2155788396,393884793114341376,37,37
714129312,227842342827196418,1,1
393071903,128627775316828160,1,1
1970254142,391408599227842560,14,14
820945956,246159531648897025,12,12
1477624369,421423949784678400,15,15
149919899,391578753580548097,2,2
1472134134,340523701122510849,2091,2091
2270095728,417941051869917184,264,264
96427586,6611449832,18,18
2602008500,485152146896064512,3,3
2934225680,545842320222871552,5,5
1149389400,322090623819710464,451,451
1622071934,360626443098656768,584,584
297126391,310077028500119552,212,212
1593450804,356417223142805505,2,2
1397335962,330318308840718336,18,18
1876961845,380078509622038528,2,2
878846232,257251278764269569,362,362
2332445001,523123312206307329,28,28
594830305,1032917051009130496,3200,8234
222110761,11026884066287616,25,25
442198843,149241755114545152,1,1
2591399360,489283618700013568,2,2
2328086613,434702465490255872,1,1
585798179,204698232209686530,12,12
2231548630,418763243545698304,1,1
2615896705,673579678670577664,1,1
2374633446,442140239612477440,1335,1335
1330759578,419381957261152257,3200,6654
79866590,4615796520,1,1
2595283957,483346778872225792,7,7
497690995,172044582954086401,3,3
2469407390,461159746868092928,6,6
103721457,7727068582,2,2
1374109022,334105793039306756,420,420
1674363307,368162056391757824,3,3
2324485488,474001032108732416,85,85
480588144,164763560923250689,940,940
2387760858,447146944067301377,6,6
2336089928,495292552732758016,584,584
533153345,182826312401043456,1,1
331390957,104390951832793088,1,1
2412807196,444933936817659905,2,2
77862155,4428645592,1,1
629603479,221695256473780224,2606,2606
2389081775,457566874935767040,43,43
553380853,247043204539613184,2,2
2353061054,436802131564056576,82,82
1363274538,327471041087680512,2,2
1519816568,345947934740840450,16,16
711139728,227121579421728769,1,1
1348380415,358519914216177664,7,7
1356030074,331385831313006592,1,1
234950351,468823784741302273,49,49
2828005767,522805786674991105,26,26
263133058,45472384559493120,49,49
939031976,340794278617948160,7,7
2539756818,-1,3200,8097
2177002849,397872807628898304,593,593
397312917,128522909521154048,299,299
2359699657,437987804979937280,1,1
145990778,16310603511,53,53
865998782,299603741944999936,9,9
358169126,104556509630959616,462,462
371240572,112531894012358656,4,4
271799852,51607086580248576,2976,2976
105222854,157872668136308736,49,49
511344148,175755292427038721,4,4
625485492,220089605221920768,8,8
2577589248,479903650123239426,3,3
431756319,158656851498643456,1,1
337685114,92935122420113408,1,1
2275771477,419382905664585731,4,4
588549880,395860884620607488,1732,1732
2258343872,414939784734199808,4,4
451340408,353105197213564928,9,9
91665729,5929995637,1816,1816
2984322125,612442128115961856,56,56
1233210462,307744291722248192,2,2
2172622028,606620440295907328,1,1
1046032316,285147326417367040,7,7
72234272,1339427248290422784,3,3
2225268575,411855911821783040,20,20
1414910826,332410085806592000,3,3
2269108432,428530484965310464,5,5
96164326,66581665291571200,14,14
2590669573,482355283457736705,1,1
531088656,182063483779686400,44,44
182917605,32478627660562432,14,14
1449042949,349508029332467712,13,13
242429251,29692694422884352,1,1
372504356,113375381133864960,1,1
61205416,3115916096,3,3
354501371,531166273468506112,3,3
80417595,169169798171860993,1247,1247
2184453056,399638912420687872,6,6
2520671159,461766580532019200,4,4
503187699,241547805519396865,2,2
2879598246,526746612320579584,102,102
744028608,597821509281779712,2,2
1412249124,332418352813326338,31,31
1608837637,476138993084792832,3,3
431912807,145529078487855105,930,930
21049400,545410998812016640,27,27
1461749071,339886111021219841,1,1
820351807,246002944447746048,3,3
225359413,13558443621228544,108,108
482596363,167551279890046978,307,307
155133780,31408590703038466,3,3
234854960,23111129169403904,1,1
1855701284,378118131312766976,1626,1626
1073426558,288969632939909120,494,494
444467489,182711107910246400,1,1
409337485,134664741523161088,1,1
2904143894,534928515146072065,2,2
2682213709,502913455398338560,5,5
142549994,69970513224671233,21,21
2522495249,462081149993754624,6,6
369803478,111592604650577921,1,1
1186973809,302843212077355008,51,51
2391356272,442414687456858112,1,1
326412147,698434587140050944,3200,6725
2893874360,531100357150011392,1,1
745376624,233815539686965248,21,21
409581918,353024424175337472,22,22
452791095,599272239201030144,3200,33085
555358302,744960569107611652,5,5
971775679,273465276098551808,1,1
2231595485,504095069020778497,19,19
844444652,502104120887889921,5,5
2371863420,440832448306233344,1,1
108103614,8182907151,135,135
2397630492,446234217672765440,5,5
274502537,53099931451404290,10,10
700479106,388037058482421760,419,419
494043352,170140239728349184,2,2
397132789,128397168242462720,393,393
354108239,104780817296916480,112,112
1243132758,308910762443800576,2,2
430062056,179894147212255232,92,92
412150802,136020352290660352,9,9
1533769375,355760174167896066,3092,3092
952575708,269581921238003712,2,2
2637261657,1053626988718567424,8,8
565599781,196376507860525057,1481,1481
1489483166,1284789558916157445,3200,441795
1586868847,355440000340471808,30,30
847491272,251221130592014336,7,7
1945485397,530446374698242048,1,1
336915394,92784689697394688,4,4
125529777,10907313699,1,1
1456766449,338265020033011712,5,5
473161592,161873156800385025,2,2
2649978911,482860146054688768,2,2
170180819,19393580611,1040,1040
1642956284,363669343336280065,1,1
732097590,232427092191612929,1,1
305966836,74293016059318272,1,1
318858012,84350245319880705,49,49
779639094,239357423658356736,38,38
1549332517,350048214784819200,4,4
2441625013,455315023749861377,1,1
2993779069,-1,1,1
2974900735,561814004486524928,1,1
553116552,322527686012575744,1,1
481605612,165222378232745985,1,1
1685027551,456266997211619328,4,4
510280700,175223099317420034,10,10
256500614,394061115174707200,3200,11463
2309731843,555960638426456064,3,3
197270935,180331901188448256,167,167
583475532,441460025924784128,125,125
319692082,267068187814793216,9,9
1256983484,312307100137185280,7,7
2687554776,493755573754925056,1,1
561855330,194673205963792385,21,21
15879278,889925126,3095,3095
398077208,128851192200691712,289,289
133833048,12299870967,1,1
1319185303,318484222547464194,1005,1005
394269986,126764225661108224,36,36
15119103,834823858,1,1
513366079,175988230938820609,4,4
444465806,838432064638713862,2,2
2937094098,546303984655282176,13,13
84121215,5048419041,1,1
421020152,144257775474720768,2,2
2817604292,512691784963481602,17,17
487884111,170322296685346816,3,3
2837577313,517533522257772544,1,1
486451691,167188082020466688,658,658
390364367,124598144863440896,4,4
2191850511,421758790711517185,25,25
186297583,303317118911389696,2,2
1536836665,348126421132120065,2,2
2951844101,551223151901040641,262,262
735044233,892911365551206400,5,5
1135716326,296798028944248833,7,7
146462282,14471774985,1,1
174352208,20242268781,1,1
386771443,597055521796005888,3200,10839
1173205081,474320141023711233,1,1
203765917,27613055933,798,798
1540966856,353543326592540673,16,16
1930003568,385899780427087872,2,2
104151239,76559988667056128,531,531
325821105,86007325890064384,3,3
588392016,762752166503276544,3200,4277
2994008573,1145981301297569792,9,9
550615273,199269875854745600,1,1
930502008,265918012597604353,5,5
1436996612,1121460033462497280,6,6
1582113156,550306498836844544,31,31
1404090637,330902825955639296,8,8
307948138,1095093063700152321,9,9
634792573,334311621386190850,3200,7845
150103366,15081036685,1,1
2433750840,453551249917345792,14,14
2834385469,534397182968082432,2,2
2911701515,542596163774717953,4,4
1107232554,293096358859124736,5,5
1016008897,297065281954652160,28,28
2991860194,575579640275795968,1,1
129311697,11555530087,7,7
2509937485,468697840382795776,13,13
2219308892,405995875643576320,145,145
318721655,725006279362658304,3200,4599
346499442,97988265499561985,2,2
78086630,4449421793,6,6
2214685206,405085136607145985,5,5
2927619384,545044276388712448,9,9
1026775202,316751014558593024,1608,1608
1548436664,349913729481191424,1,1
2874338680,532651757986643968,10,10
2707182031,645799528289832960,4,4
2692160190,495063562461528064,1,1
2386011169,443917083173060609,1,1
635727967,224280484853714944,392,392
1371461155,388647475029889024,1,1
866644854,517304067979083776,87,87
54541623,2513690138,1,1
714046921,227728449886883840,18,18
2618163395,478990079441240065,3,3
419614251,139388598368747521,17,17
534573461,183258142342254593,5,5
1400648834,330416237857366016,87,87
65477921,3294750770,5,5
2533563307,472147658547539968,1,1
36223272,759351485603905541,3,3
179134116,21338855170,11,11
1335203624,321291901082947584,30,30
2374098470,441271222262042624,2,2
1334460246,452762992786944000,7,7
2256892196,414489436693749760,4,4
1868516954,379294861599326208,7,7
1212342841,722011816570675200,3200,4913
16790483,177547010856067073,3,3
1623364993,391395852704444417,37,37
635812750,224322177049178112,1,1
251282833,52471398127513600,62,62
192089586,25556444723,1,1
153052190,276938273950146560,4,4
1374261822,880622699088715776,6,6
1222211682,306435212777238529,2,2
2956508692,550983528591413250,28,28
2748780766,661765090861932544,3,3
494403540,210125487131983872,1,1
2916084076,543121848960294913,11,11
371668815,124013329697083392,1692,1692
2463283887,664381136127328256,1,1
1614686719,359581708456177664,6,6
936080760,266814100208762881,17,17
2676068402,492880898459586560,24,24
1285303128,540251730467094528,1,1
1214220877,305501556973916161,301,301
2753570955,505087680955580416,10,10
1241701423,308616320147136512,11,11
209181011,7289482021707776,450,450
366870379,109785722638188545,52,52
191420875,24787793725,409,409
517315570,181353717470199808,6,6
190754370,24754273724,5,5
2959690283,551599650273107969,13,13
588063971,205266222776991744,2,2
2714669899,497388879649853440,3,3
2307247495,437233294049292288,11,11
1138050368,361210177271250944,2722,2722
1270492561,325576694364790784,31,31
2310279890,427265140011327488,1,1
2807070248,511086432023101442,1,1
